Rating(%),Fee(INR),Place,Name,Qualification
91, 1020,"Bombay Hospital, Indore",Dr. Abhishek Manu,"MBBS, MS - Orthopedic Surgery, Fellowship - Spine Surgery"
91,-,"Bhandari Hospital & Reasearch Center, Indore",Dr. Abha Verma,"MBBS, MS - Ophthalmology"
91,-,"Shalby Hospital, Indore",Dr. Aarchit Mangal,"MBBS, Diploma - Medical Radiodiagnosis, DNB - Radiodiagnosis"
91,-,"Shalby Hospital, Indore",Dr. Abhishek Songara,"MBBS, MS - General Surgery, MCh - Neurosurgery"
91,-,"Bombay Hospital, Indore",Dr. Abhay Jain,"MBBS, MD - Neuropsychiatry"
91,-,"Gokuldas Hospital, Indore",Dr. Abhilasha Billore,"MBBS, MD - Obstetrics and Gynecology, Fellowship - Minimal Access Surgery"
91,-,"Mayur Hospital & Research Centre, Indore",Dr. Abhishek Kalantri,"MBBS, Diploma - Orthopedics, MS - Orthopedics"
91,-,"Greater Kailash Hospital, Indore",Dr. Abhijeet Khandelwal,"MBBS, DTCD, DNB"
91,-,"Choithram Hospital and Research Centre, Indore",Dr. Abhik Sikdar,"MBBS, MS - ENT, DNB"
91,-,"CHL Hospital, Indore",Dr. Abhijeet Pandit,"MBBS, Diploma - Orthopedics, DNB - Orthopedics"
91,-,"Greater Kailash Hospital, Indore",Dr.  Abhyudaya Verma,"MBBS, MD - Medicine, DNB - Endocrinology, Diabetes, Metabolism"
91,-,"Greater Kailash Hospital, Indore",Dr. Achal Agrawal,"MBBS, MS - General Surgery, FMAS"
91,-,"Gokuldas Hospital, Indore",Dr. Ajay Gandhi,"MBBS, MD - Pathology"
91, 200,"Choithram Hospital and Research Centre, Indore",Dr. A Dashore,"MBBS, Diploma - Dermatology and Venereology"
91,-,"Greater Kailash Hospital, Indore",Dr. Advait Prakash,"MBBS, MS - General Surgery, MCh - Pediatric Surgery"
91,-,"Choithram Hospital and Research Centre, Indore",Dr. Achal Sepaha,"MBBS, MD - Medicine"
91, 600,"CHL Hospital, Indore",Dr. Ajay Gupta,"MBBS, MD - General Medicine, DM - Endocrinology"
91,-,"Bombay Hospital, Indore",Dr. Ajay Gupta,"MBBS, MD - Radio Diagnosis"
91,-,"Choithram Hospital and Research Centre, Indore",Dr. Ajay Jain,"MBBS, MD - Internal Medicine, DM - Gastroenterology"
91,-,"Greater Kailash Hospital, Indore",Dr. Ajay Shukla,"MBBS, MD - Internal Medicine"
91,-,"Shalby Hospital, Indore",Dr. Ajay Parikh,"MBBS, MD - General Medicine"
91,-,"Mayur Hospital & Research Centre, Indore",Dr. Ajay Joshi,"MBBS, MS - General Surgery"
91,-,"Shri Ram Care Hospital, Bilaspur",Dr. Akhilesh Jain,"MBBS, MD - General Medicine, DM - Cardiology"
91,-,"Greater Kailash Hospital, Indore",Dr. Ajeet Singh Devra,"MBBS, MD"
91,-,"Bhandari Hospital & Reasearch Center, Indore",Dr. Ajit Ahuja,"MBBS, MD - Radiology"
91,-,"Arihant Hospital & Research Centre, Indore",Dr. AK Laddha,"MBBS, MD - Pediatrics"
91,-,"CHL Hospital, Indore",Dr. AK Jinsiwale,"MBBS, MS - Orthopedics, Diploma - MVS"
91,-,"Shalby Hospital, Indore",Dr. Akshat Kasat,"MBBS, MD - Radiodiagnosis, DNB - Radiodiagnosis"
91,-,"Arihant Hospital & Research Centre, Indore",Dr. AK Pancholia,"MBBS, MD - Medicine, Fellowship"
91,-,"Medicare Hospital & Research Centre, Indore",Dr. Akshat Verma,"MBBS, MD - Dermatology, Venereology and Leprosy"
91,-,"Choithram Hospital and Research Centre, Indore",Dr. Alka Jain,MBBS
91,-,"Apple Hospital, Indore",Dr. Akshay Sharma,"MBBS, MS - General Surgery"
91,-,"Choithram Hospital and Research Centre, Indore",Dr. Alka Jain,"MBBS, Diploma - Blood Transfusion and Immuno Hematology"
91,-,"Gokuldas Hospital, Indore",Dr. Alkesh Jain,"MBBS, MS - General Surgery, DM - Cardiology"
91,-,"CHL Hospital, Indore",Dr. Alok Kumar Udiya,"MBBS, MD - Radio Diagnosis, PDCC - Neuro Radiology"
91, 1020,"Bombay Hospital, Indore",Dr. Alok Modi,"MBBS, MD, FSMO"
91, 1020,"Bombay Hospital, Indore",Dr. Alok Mandliya,"MBBS, MD - Internal Medicine, DM - Neurology"
91,-,"CHL Hospital, Indore",Dr. Alok Somani,"MBBS, MS - General Surgery"
91,-,"Apple Hospital, Indore",Dr. Amber Mittal,"MBBS, MS - Orthopedics, Fellowship - Joint Replacement"
91,-,"Gokuldas Hospital, Indore",Dr. Ambrish Patel,"MBBS, MS - General Surgery, MCh - Cardiothoracic and Vascular Surgery"
